ancestral ancestrale
ancien ancienne
ancré ancrée
andalous andalouse
andouille andouillette
anesthésiant anesthésiante
anesthésié anesthésiée
angevin angevine
anglais anglaise
anglican anglicane
anglo-américain anglo-américaine
anglo-français anglo-française
anglo-normand anglo-normande
anglo-saxon anglo-saxonne
anglo-égyptien anglo-égyptienne
angoissant angoissante
angoissé angoissée
anguleux anguleuse
animal animale
animalier animalière
animateur animatrice
animé animée
anis anise
anise anisette
anisé anisée
ankylosé ankylosée
annelé annelée
annexé annexée
annihilant annihilante
annihilé annihilée
annoncer annonceuse
annonceur annonceuse
annonciateur annonciatrice
annoncé annoncée
annoté annotée
annuel annuelle
annulé annulée
anobli anoblie
anoblissant anoblissante
anodin anodine
anormal anormale
anti-aérien anti-aérienne
antiaméricain antiaméricaine
antiaérien antiaérienne
antichrétien antichrétienne
anticipateur anticipatrice
anticipé anticipée
anticlérical anticléricale
anticonstitutionnel anticonstitutionnelle
antidaté antidatée
antidreyfusard antidreyfusarde
antidérapant antidérapante
antillais antillaise
antinaturel antinaturelle
antipersonnel antipersonnelle
antireligieux antireligieuse
antisocial antisociale
antédiluvien antédiluvienne
antérieur antérieure
anxieux anxieuse
anéanti anéantie
anéantis anéantisse
anéantissant anéantissante
anémié anémiée
apaisant apaisante
apaisé apaisée
aperçu aperçue
apeuré apeurée
aphteux aphteuse
apiculteur apicultrice
apitoyé apitoyée
aplani aplanie
aplati aplatie
aplatis aplatisse
apostat apostate
apostrophé apostrophée
apparais apparaisse
appareil appareille
apparent apparente
apparenté apparentée
apparié appariée
apparu apparue
appauvri appauvrie
appauvrissant appauvrissante
appeau appelle
appel appelle
appelant appelante
appelé appelée
appesanti appesantie
applaudi applaudie
applaudis applaudisse
appliqué appliquée
appoint appointe
appointé appointée
apport apporte
apporté apportée
apposé apposée
apprenant apprenante
apprenti apprentie
appris apprise
apprivoisé apprivoisée
approbateur approbatrice
approché approchée
approfondi approfondie
approfondis approfondisse
approprié appropriée
approuvé approuvée
approvisionneur approvisionneuse
approvisionné approvisionnée
approximatif approximative
appréciateur appréciatrice
apprécié appréciée
appréhendé appréhendée
apprêt apprête
apprêté apprêtée
appui appuie
appuyé appuyée
appât appâte
appâté appâtée
appétissant appétissante
apéritif apéritive
aqueux aqueuse
arachnéen arachnéenne
aragonais aragonaise
araméen araméenne
arbitré arbitrée
arboré arborée
arc-bouté arc-boutée
arcadien arcadienne
arcan arcane
archi archie
architectural architecturale
ardennais ardennaise
ardent ardente
ardu ardue
ardéchois ardéchoise
argent argente
argentin argentine
argenté argentée
argileux argileuse
argument argumente
arien arienne
aristotélicien aristotélicienne
ariégeois ariégeoise
arlésien arlésienne
armorié armoriée
armé armée
arménien arménienne
arnaquer arnaqueuse
arnaqueur arnaqueuse
arnaqué arnaquée
aromatisé aromatisée
arpent arpente
arpenté arpentée
arqué arquée
arracher arracheuse
arracheur arracheuse
arraché arrachée
arrangeant arrangeante
arrangé arrangée
arrimé arrimée
arrivant arrivante
arrivé arrivée
arriéré arriérée
arrogant arrogante
arrogé arrogée
arrondi arrondie
arroser arroseuse
arroseur arroseuse
arrosé arrosée
arrêt arrête
arrêté arrêtée
arthurien arthurienne
articulé articulée
artificiel artificielle
artificier artificieuse
artisan artisane
artisanal artisanale
artériel artérielle
aryen aryenne
ascendant ascendante
ascension ascensionne
ascensionnel ascensionnelle
aseptisé aseptisée
asexué asexuée
asocial asociale
aspergé aspergée
asphalté asphaltée
asphyxiant asphyxiante
asphyxié asphyxiée
aspirant aspirante
aspiré aspirée
assagi assagie
assagis assagisse
assaillant assaillante
assailli assaillie
assaini assainie
assaisonné assaisonnée
assassin assassine
assassiné assassinée
assemblé assemblée
assené assenée
assermenté assermentée
asservi asservie
assidu assidue
assigné assignée
assimilé assimilée
assis assise
assistant assistante
assisté assistée
assiégé assiégée
associé associée
assoiffé assoiffée
assombri assombrie
assommant assommante
assommé assommée
assorti assortie
assoupi assoupie
assoupis assoupisse
assoupli assouplie
assourdi assourdie
assourdissant assourdissante
assouvi assouvie
assouvis assouvisse
assujetti assujettie
assujettis assujettisse
assumé assumée
assuré assurée
assyrien assyrienne
asséché asséchée
asticot asticote
astiqué astiquée
astral astrale
astreignant astreignante
astreint astreinte
astringent astringente
astrophysicien astrophysicienne
astucieux astucieuse
athénien athénienne
atomisé atomisée
atonal atonale
atrophié atrophiée
attablé attablée
attachant attachante
attaché attachée
attaquant attaquante
attaqué attaquée
attardé attardée
atteint atteinte
attelé attelée
attenant attenante
attend attende
attendis attendisse
attendri attendrie
attendris attendrisse
attendrissant attendrissante
attendu attendue
attentif attentive
attentionné attentionnée
atterrant atterrante
atterris atterrisse
atterré atterrée
attesté attestée
attifé attifée
attirant attirante
attiré attirée
attisé attisée
attitré attitrée
attiédi attiédie
attractif attractive
attrapé attrapée
attrayant attrayante
attribué attribuée
attriqué attriquée
attristant attristante
attristé attristée
attroupé attroupée
atténuant atténuante
atténué atténuée
aubain aubaine
aube aubette
aucun aucune
audacieux audacieuse
audio-visuel audio-visuelle
audiovisuel audiovisuelle
auditeur auditrice
auditif auditive
audition auditionne
auditionné auditionnée
augment augmente
augmenté augmentée
augural augurale
aumônier aumônière
auréolé auréolée
austral australe
australien australienne
auteur auteure
authentifié authentifiée
auto-immun auto-immune
auto-stoppeur auto-stoppeuse
autocollant autocollante
autodestructeur autodestructrice
autodétruit autodétruite
automatisé automatisée
automnal automnale
automoteur automotrice
autonettoyant autonettoyante
autoproclamé autoproclamée
autopropulsé autopropulsée
autorisé autorisée
autrichien autrichienne
auvergnat auvergnate
avachi avachie
aval avale
avaler avaleuse
avaleur avaleuse
avalé avalée
avancé avancée
avant-dernier avant-dernière
avantager avantageuse
avantageux avantageuse
avantagé avantagée
avaricieux avaricieuse
avarié avariée
avenant avenante
aventurer aventureuse
aventureux aventureuse
aventurier aventurière
aventuré aventurée
avenu avenue
avers averse
averti avertie
avertis avertisse
aveuglant aveuglante
aveugle-né aveugle-née
aveuglé aveuglée
aviateur aviatrice
aviculteur avicultrice
avignonnais avignonnaise
avili avilie
avilissant avilissante
aviné avinée
avis avise
avisé avisée
avivé avivée
avocaillon avocaillonne
avocat avocate
avoisinant avoisinante
avorter avorteuse
avorteur avorteuse
avorté avortée
avoué avouée
avéré avérée
axial axiale
axé axée
azimuté azimutée
azuré azurée
aérien aérienne
aéronaval aéronavale
aéroporté aéroportée
aérospatial aérospatiale
aéré aérée
aîné aînée
aïeul aïeule
babas babasse
babil babille
babillard babillarde
babouin babouine
babylonien babylonienne
bacchanal bacchanale
bachelier bachelière
bactérien bactérienne
badaud badaude
badigeon badigeonne
badigeonné badigeonnée
badin badine
badois badoise
bafouillant bafouillante
bafoué bafouée
bagarrer bagarreuse
bagarreur bagarreuse
bagarré bagarrée
bagnard bagne
bague baguette
bagué baguée
bahut bahute
baigner baigneuse
baigneur baigneuse
baigné baignée
bail baille
bain baigne
bais baisse
baiser baiseuse
baiseur baiseuse
baissé baissée
baisé baisée
balader baladeuse
baladeur baladeuse
baladé baladée
balafré balafrée
balai balaie
balais balaise
balancé balancée
balaye balayette
balayer balayeuse
balayeur balayeuse
balayé balayée
balbutiant balbutiante
baleinier baleinière
baleiné baleinée
balinais balinaise
balisé balisée
ballant ballante
ballon ballonne
ballonnant ballonnante
ballonné ballonnée
ballot ballote
ballotté ballottée
balourd balourde
baluchon baluchonne
balzacien balzacienne
bambin bambine
bambine bambinette
banal banale
banalisé banalisée
bananier bananière
banc banque
bancal bancale
bandant bandante
bandé bandée
banlieusard banlieusarde
banni bannie
bannis bannisse
banque banquette
banquet banquette
banquier banquière
bantou bantoue
baptismal baptismale
baptisé baptisée
