Word (M/F)                                 POS            LEMMA                    TAG       DEPENDENCY
boucher, bouchère	                       VERB	      boucher	                  VERB	      ROOT
bouffeur, bouffeuse	                     NOUN	      bouffeur	                 NOUN	      ROOT
boulanger, boulangère	                   VERB	      boulanger	                VERB	      ROOT
bourlingueur, bourlingueuse	             NOUN	      bourlingueur	             NOUN	      ROOT
boutiquier, boutiquière	                 NOUN	      boutiquier	               NOUN	      ROOT
boxeur, boxeuse	                         NOUN	      boxeur	                   NOUN	      ROOT
breton, bretonne	                        NOUN	      breton	                   NOUN	      ROOT
briseur, briseuse	                       NOUN	      briseur	                  NOUN	      ROOT
bronzeur, bronzeuse	                     NOUN	      bronzeur	                 NOUN	      ROOT
brun, brune	                             ADJ	       brun	                     ADJ	       ROOT
buandier, buandière	                     NOUN	      buandier	                 NOUN	      ROOT
buteur, buteuse	                         NOUN	      buteur	                   NOUN	      ROOT
buveur, buveuse	                         NOUN	      buveur	                   NOUN	      ROOT
cabochard, cabocharde	                   NOUN	      cabochard	                NOUN	      ROOT
cadet, cadette	                          NOUN	      cadet	                    NOUN	      ROOT
cadet, puînée	                           NOUN	      cadet	                    NOUN	      ROOT
caissier, caissière	                     NOUN	      caissier	                 NOUN	      ROOT
calomniateur, calomniatrice	             NOUN	      calomniateur	             NOUN	      ROOT
cambrioleur, cambrioleuse	               NOUN	      cambrioleur	              NOUN	      ROOT
camionneur, camionneuse	                 NOUN	      camionneur	               NOUN	      ROOT
campagnard, campagnarde	                 NOUN	      campagnard	               NOUN	      ROOT
campeur, campeuse	                       NOUN	      campeur	                  NOUN	      ROOT
canadien, canadienne	                    ADJ	       canadien	                 ADJ	       ROOT
canard, cane	                            NOUN	      canard	                   NOUN	      ROOT
cancéreux, cancéreuse	                   ADJ	       cancéreux	                ADJ	       ROOT
candidat, candidate	                     NOUN	      candidat	                 NOUN	      ROOT
capricieux, capricieuse	                 ADJ	       capricieux	               ADJ	       ROOT
caravanier, caravanière	                 ADJ	       caravanier	               ADJ	       ROOT
casquettier, casquettière	               NOUN	      casquettier	              NOUN	      ROOT
cavalier, cavalière	                     NOUN	      cavalier	                 NOUN	      ROOT
célébrant, célébrante	                   VERB	      célébrer	                 VERB	      ROOT
chaisier, chaisière	                     VERB	      chaisier	                 VERB	      ROOT
champion, championne	                    NOUN	      champion	                 NOUN	      ROOT
chanteur, chanteuse	                     NOUN	      chanteur	                 NOUN	      ROOT
charbonnier, charbonnière	               NOUN	      charbonnier	              NOUN	      ROOT
charcutier, charcutière	                 VERB	      charcutier	               VERB	      ROOT
chasseur, chasseresse	                   ADJ	       chasseur	                 ADJ	       ROOT
chasseur, chasseuse	                     ADJ	       chasseur	                 ADJ	       ROOT
chat, chatte	                            VERB	      chat	                     VERB	      ROOT
châtelain, châtelaine	                   ADJ	       châtelain	                ADJ	       ROOT
chauffeur, chauffeuse	                   NOUN	      chauffeur	                NOUN	      ROOT
chausseur, chausseuse	                   NOUN	      chausseur	                NOUN	      ROOT
chaussonnier, chaussonnière	             ADJ	       chaussonnier	             ADJ	       ROOT
cheminot, cheminote	                     PROPN	     cheminot	                 PROPN	     ROOT
chercheur, chercheuse	                   NOUN	      chercheur	                NOUN	      ROOT
chéri, chérie	                           X	         chéri	                    X	         ROOT
cheval, jument	                          NOUN	      cheval	                   NOUN	      ROOT
chevrier, chevrière	                     ADJ	       chevrier	                 ADJ	       ROOT
chien, chienne	                          NOUN	      chien	                    NOUN	      ROOT
chieur, chieuse	                         ADJ	       chieur	                   ADJ	       ROOT
chiffreur, chiffreuse	                   NOUN	      chiffreur	                NOUN	      ROOT
chinois, chinoise	                       ADJ	       chinois	                  ADJ	       ROOT
chipoteur, chipoteuse	                   NOUN	      chipoteur	                NOUN	      ROOT
chiqueur, chiqueuse	                     NOUN	      chiqueur	                 NOUN	      ROOT
chirurgien, chirurgienne	                NOUN	      chirurgien	               NOUN	      ROOT
chocolatier, chocolatière	               ADJ	       chocolatier	              ADJ	       ROOT
chômeur, chômeuse	                       NOUN	      chômeur	                  NOUN	      ROOT
chrétien, chrétienne	                    ADJ	       chrétien	                 ADJ	       ROOT
cigarier, cigarière	                     NOUN	      cigarier	                 NOUN	      ROOT
citadin, citadine	                       ADJ	       citadin	                  ADJ	       ROOT
citateur, citatrice	                     ADJ	       citateur	                 ADJ	       ROOT
citoyen, citoyenne	                      NOUN	      citoyen	                  NOUN	      ROOT
clandestin, clandestine	                 VERB	      clandestin	               VERB	      ROOT
client, cliente	                         ADV	       client	                   ADV	       ROOT
clochard, clocharde	                     NOUN	      clochard	                 NOUN	      ROOT
cochon, cochonne	                        VERB	      cochon	                   VERB	      ROOT
cochon, truie	                           VERB	      cochon	                   VERB	      ROOT
coiffeur, coiffeuse	                     ADJ	       coiffeur	                 ADJ	       ROOT
coléreux, coléreuse	                     ADJ	       coléreux	                 ADJ	       ROOT
collaborateur, collaboratrice	           NOUN	      collaborateur	            NOUN	      ROOT
collectionneur, collectionneuse	         NOUN	      collectionneur	           NOUN	      ROOT
collégien, collégienne	                  NOUN	      collégien	                NOUN	      ROOT
combattant, combattante	                 VERB	      combattre	                VERB	      ROOT
comédien, comédienne	                    NOUN	      comédien	                 NOUN	      ROOT
commandant, commandante	                 NOUN	      commandant	               NOUN	      ROOT
commentateur, commentatrice	             NOUN	      commentateur	             NOUN	      ROOT
commerçant, commerçante	                 NOUN	      commerçant	               NOUN	      ROOT
