ref_id	neighbours_frequences_m	neighbours_frequences_f	
123	['14453', '179', '147', '4483', '183', '2381', '2253', '12197', '2678', '78']	['5794', '36872', '52', '64820', '629', '94', '3963', '2133', '233', '192']	
124	['1624', '3010', '2895', '151', '22730', '1377', '904', '4483', '620', '20735']	['811', '94', '84', '2823', '90', '3451', '50', '818', '13723', '89']	
125	['8005', '4437', '86', '90', '98', '295', '120', '216', '57', '54']	['16224', '8005', '285', '53', '59', '2533', '113', '443', '69', '153']	
126	['171', '79', '69', '900', '62', '53', '52', '67', '51', '413']	['52', '77', '55', '99', '228', '73', '2162', '573', '331', '57']	
127	['76', '58', '68', '851', '2193', '64', '361', '79', '61', '337']	['851', '942', '405', '83', '57', '200', '54', '54', '50', '393']	
128	['314', '283', '56', '90', '82', '59', '1747', '831', '394', '2713']	['80', '60', '97', '87', '81', '7141', '443', '1234', '116', '54']	
129	['1119', '5448', '470', '1058', '2603', '17704', '113', '79', '536', '66']	['206', '497', '1356', '2141', '592', '96', '68', '54', '773', '262']	
130	['405', '213', '87', '360', '339', '1561', '901', '63', '234', '2440']	['61', '196', '129', '107', '54', '58', '90', '57', '57', '57']	
131	['89', '359', '36421', '60', '579', '56', '2442', '117', '506', '53']	['2549', '1943', '1617', '70', '495', '6308', '59', '93', '4638', '335']	
132	['5893', '8089', '1395', '1318', '2268', '22943', '8706', '797', '7159', '130']	['15333', '13723', '591', '54', '60', '2382', '343', '7159', '56', '337']	
133	['127', '8089', '110', '74', '74', '768', '393', '304', '588', '83']	['127', '79', '110', '382', '304', '393', '558', '160', '74', '337']	
134	['651', '244', '56', '1987', '112671', '7085', '94', '352', '550', '144']	['164', '8981', '11695', '121', '7803', '5378', '117', '552', '1497', '144']	
135	['188', '234', '83', '78', '1624', '93', '96', '2215', '95', '51']	['54', '57', '147', '127', '55', '61', '84', '50', '61', '78']	
136	['4247', '2316', '68', '61', '6405', '7634', '78', '62', '333', '82']	['13723', '50', '226', '36350', '627', '149', '118', '138', '661', '3858']	
137	['24738', '57295', '236', '2079', '939', '34854', '7805', '50', '687', '101']	['28618', '2533', '1704', '631', '714', '497', '92', '126', '491', '4116']	
138	['1118', '3235', '1106', '818', '455', '5531', '355', '85', '68', '54']	['52', '155', '57', '124', '104', '199', '59', '60', '288', '57']	
139	['624', '116', '99', '923', '96', '50', '2085', '50', '443', '271']	['1286', '65', '6720', '169', '426', '1003', '374', '66', '50', '52']	
140	['885', '235', '131', '373', '299', '61', '73', '79', '54', '82']	['66', '71', '54', '233', '67', '127', '74', '52', '52', '50']	
141	['785', '97', '7084', '98', '634', '207', '73', '1022', '54', '449']	['1838', '3310', '665', '690', '62', '401', '60', '338', '236', '1827']	
142	['536', '5448', '3382', '222', '1356', '1605', '2192', '2658', '570', '119']	['531', '2141', '470', '497', '182', '579', '74', '773', '151', '58']	
143	['3640', '1377', '1159', '357', '51', '647', '55', '58', '50', '64']	['13723', '1159', '36350', '67', '818', '327', '138', '94', '15333', '96']	
144	['683', '205', '689', '96', '51', '83', '456', '214', '789', '1461']	['689', '456', '96', '3161', '234', '287', '51', '789', '1302', '269']	
145	['2542', '868', '2892', '462', '2137', '1832', '466', '283', '357', '79']	['1982', '130', '50', '57', '2212', '1210', '278', '5580', '91', '86']	
146	['55273', '1118', '5070', '99', '1990', '958', '429', '222', '271', '52']	['365', '54', '349', '8981', '1212', '68', '1747', '621', '70', '1034']	
147	['2260', '5595', '3757', '483', '486', '620', '59', '1147', '74', '530']	['1838', '3310', '334', '7108', '1383', '258', '271', '1147', '236', '1313']	
148	['861', '314', '767', '1063', '51', '7486', '1298', '209', '324', '59']	['603', '96', '8981', '383', '129', '443', '147', '706', '371', '11695']	
149	['895', '50', '59', '79', '2166', '367', '1901', '53', '129', '87']	['64', '52', '58', '55', '59', '76', '338', '50', '91', '58']	
150	['51', '154', '50', '843', '180', '69', '204', '58', '1567', '137']	['95', '89', '84', '1221', '93', '115', '143', '227', '60', '62']	
151	['726', '1388', '426', '310', '216', '74', '55', '318', '1500', '101']	['1572', '96', '326', '92', '494', '50', '84', '88', '3728', '463']	
152	['2096', '395', '21920', '61', '136', '51', '109', '110', '2042', '65']	['5580', '74', '2184', '81', '33782', '1409', '118', '63', '66', '174']	
153	['1405', '10914', '295', '271', '63', '113', '5425', '9475', '9178', '61']	['10914', '78', '209', '51', '170', '168', '56', '58', '129', '133']	
154	['1037', '78', '88', '1290', '126', '1269', '1301', '8156', '58', '93']	['106', '337', '505', '468', '110', '2453', '8981', '549', '329', '187']	
155	['3640', '72', '1377', '55', '128', '94', '53', '83', '187', '55']	['269', '128', '111', '72', '70', '15333', '2378', '102', '51052', '696']	
156	['4055', '390', '6405', '502', '5378', '2904', '910', '61', '22943', '233']	['952', '226', '61', '58', '1037', '374', '71', '940', '105', '133']	
157	['10856', '164', '12067', '1567', '175', '696', '764', '200', '22943', '2313']	['818', '3324', '4633', '327', '627', '78', '155', '147', '10856', '138']	
158	['69', '981', '72', '8974', '97', '91', '63', '286', '58', '72']	['115', '63', '376', '63', '54', '86', '88', '90', '8974', '57']	
159	['84', '97', '66', '98', '60', '66', '141', '1690', '66', '61']	['62', '3020', '74', '51', '59', '65', '50', '164', '59', '51']	
160	['11369', '1553', '599', '1015', '632', '549', '2101', '486', '3000', '1603']	['1559', '4116', '3500', '714', '326', '640', '1572', '129', '3728', '1687']	
161	['85', '94', '1742', '1377', '981', '83', '1857', '296', '1395', '3640']	['1348', '1269', '324', '937', '69', '6149', '8974', '5662', '2938', '1938']	
162	['53', '20022', '1115', '1269', '1424', '962', '2017', '299', '75', '181']	['113', '3274', '58', '505', '603', '3273', '383', '151', '871', '331']	
163	['4653', '3232', '464', '66', '808', '7998', '106', '51', '3569', '2832']	['4410', '3922', '171', '53', '4580', '464', '1760', '66', '570', '1237']	
164	['117', '158', '156', '59', '79', '144', '266', '85', '66', '436']	['63', '126', '142', '193', '324', '52', '69', '50', '75', '61']	
165	['118', '77', '124', '69', '383', '79', '117', '68', '53', '183']	['65', '57', '156', '57', '368', '95', '52', '105', '63', '63']	
166	['316', '2260', '59', '61', '130', '79', '136', '100', '1427', '122']	['62', '665', '60', '1479', '1827', '56', '52', '331', '1024', '144']	
167	['301', '95', '68', '928', '110', '71', '166', '105', '53', '56']	['105', '65', '64', '95', '52', '130', '76', '122', '124', '90']	
168	['53', '79', '114', '89', '93', '93', '59', '137', '62', '97']	['72', '73', '120', '56', '128', '99', '124', '56', '331', '123']	
169	['1822', '471', '7043', '1561', '56221', '601', '436', '53', '14307', '11328']	['775', '1635', '6455', '4216', '900', '2810', '470', '193', '75', '1288']	
170	['4362', '69', '57', '131', '14307', '61', '7766', '80', '193', '347']	['89', '63', '59', '160', '52', '71', '106', '52', '52', '116']	
171	['2627', '80', '620', '1768', '114', '195', '339', '448', '166', '144']	['51', '70', '1687', '122', '57', '146', '2533', '64', '3324', '115']	
172	['5811', '5838', '3414', '421', '11092', '469', '135', '87', '51', '65']	['61', '89', '78', '303', '73', '51', '79', '94', '154', '53']	
173	['8581', '1756', '3388', '118', '6041', '102', '70', '14074', '859', '18610']	['8581', '62', '394', '210', '155', '811', '75', '70', '520', '2865']	
174	['4021', '214', '256', '57', '394', '92', '247', '845', '633', '2687']	['2215', '57', '128', '89', '52', '3451', '58', '50', '904', '706']	
175	['89', '171', '383', '449', '53', '58', '98', '75', '205', '50']	['8024', '555', '346', '83', '200', '821', '593', '54', '3494', '2220']	
176	['831', '116', '81', '79', '820', '1706', '436', '708', '87', '542']	['593', '56', '196', '58', '173', '152', '656', '123', '905', '68']	
177	['1624', '3640', '1377', '22943', '797', '11328', '8089', '1318', '238', '296']	['13723', '811', '818', '15333', '78', '2268', '1159', '105', '64', '239']	
178	['815', '11328', '1118', '3365', '2629', '2193', '1857', '257', '418', '657']	['63', '60', '240', '110', '59', '1497', '194', '1308', '3310', '62']	
179	['505', '3467', '2970', '313', '7546', '9407', '3274', '631', '54', '580']	['1269', '676', '1434', '88', '167', '290', '669', '351', '11695', '299']	
180	['1162', '1553', '324', '632', '2101', '486', '1015', '118', '149', '276']	['1645', '624', '19620', '682', '70', '67', '2533', '1483', '994', '245']	
181	['1500', '6372', '687', '6814', '537', '91', '64', '4437', '931', '51']	['3728', '2533', '2705', '6372', '4116', '640', '881', '491', '1704', '467']	
182	['4068', '1553', '222', '1148', '3000', '1015', '599', '17324', '2264', '8692']	['109', '468', '83', '112', '863', '63', '196', '1559', '61', '84']	
183	['2061', '744', '1298', '1007', '748', '534', '5540', '2680', '315', '767']	['1093', '69', '626', '620', '262', '284', '777', '286', '605', '728']	
184	['3187', '195', '79', '3254', '620', '1742', '2240', '60', '89', '2938']	['94', '2938', '13723', '818', '640', '78', '203', '105', '15333', '1159']	
185	['127', '8089', '384', '50', '10856', '56', '1175', '521', '7008', '659']	['402', '15333', '50', '126', '385', '301', '95', '250', '838', '50']	
186	['286', '110', '312', '315', '58', '222', '176', '51', '192', '368']	['38891', '121', '3589', '73', '75', '68', '615', '71', '65', '198']	
187	['17767', '198', '178', '3231', '1449', '52', '594', '478', '1039', '72']	['432', '329', '51', '53', '149', '67', '2140', '93', '220', '429']	
188	['3665', '490', '1573', '400', '1567', '8952', '1071', '2193', '3354', '641']	['239', '2453', '1251', '2268', '13495', '627', '421', '203', '5880', '76']	
189	['53', '58', '106', '69', '103', '95', '79', '7008', '958', '62']	['57', '50', '67', '63', '145', '218', '62', '69', '70', '56']	
190	['129', '223', '1901', '78', '768', '60', '790', '121', '239', '649']	['25410', '63', '51', '67', '124', '61', '71', '57', '89', '52']	
191	['1184', '5152', '931', '233', '42298', '145', '79', '547', '1150', '397']	['52', '212', '56', '55', '52', '36350', '80', '97', '233', '328']	
192	['105', '3819', '125', '143', '872', '128', '218', '779', '5055', '54']	['1571', '1139', '3981', '77', '4049', '70', '122', '307', '205', '126']	
193	['19367', '16061', '5978', '125', '2440', '57', '2687', '130', '757', '57']	['19367', '70', '357', '1026', '192', '128', '125', '130', '70', '57']	
194	['148', '4711', '884', '323', '1280', '329', '262', '1422', '908', '6405']	['15333', '66', '71', '789', '2268', '178', '7159', '138', '364', '13723']	
195	['7742', '2118', '1190', '59', '61', '916', '156', '54', '62', '174']	['76', '145', '82', '2345', '68', '7391', '4340', '56', '147', '248']	
196	['213', '171', '93', '89', '128', '1446', '54', '909', '319', '130']	['56', '59', '99', '735', '81', '128', '585', '368', '58', '324']	
197	['1691', '329', '123', '2263', '63', '7008', '224', '56', '61', '69']	['265', '893', '2491', '354', '131', '7627', '368', '143', '4511', '1691']	
198	['10730', '22062', '361', '107', '2964', '651', '64', '91', '233', '418']	['634', '122', '54', '71', '51', '170', '78', '56', '85', '177']	
199	['64', '52', '79', '66', '66', '61', '237', '70', '50', '64']	['1211', '75', '88', '124', '229', '304', '56', '78', '55', '89']	
200	['729', '1175', '155', '87', '363', '64', '243', '144', '213', '1642']	['38228', '4580', '357', '6100', '109', '58', '80', '386', '54', '351']	
201	['156', '814', '112', '651', '60', '81', '10856', '69', '403', '117']	['661', '593', '222', '627', '1409', '5580', '68', '105', '185', '79']	
202	['16857', '12492', '13371', '2252', '10205', '2192', '6216', '69', '3382', '2722']	['29096', '45622', '6213', '7627', '6216', '973', '630', '12492', '468', '3505']	
203	['885', '262', '5154', '1627', '81', '2440', '56', '436', '116', '708']	['68', '55', '58', '67', '71', '50', '56', '50', '63', '54']	
204	['1711', '51', '77', '3790', '56', '1221', '59', '118', '382', '2906']	['1190', '156', '1287', '584', '14793', '159', '51', '361', '2705', '874']	
205	['2118', '1377', '121', '485', '298', '463', '1193', '1190', '61', '89']	['818', '904', '84', '127', '55', '93', '58', '2032', '106', '1699']	
