ref_id	neighbours_frequences_m	neighbours_frequences_f	
272	['1531', '4226', '6656', '12433', '143', '2678', '1279', '4127', '8581', '2008']	['209', '650', '147', '65', '1152', '119', '2378', '2008', '359', '189']	
273	['284', '270', '58', '113', '323', '117', '815', '1579', '58', '137']	['59', '62', '116', '401', '63', '1124', '80', '76', '1838', '934']	
274	['456', '78', '757', '59', '57', '65', '65', '66', '123', '91']	['116', '1838', '1479', '1383', '3310', '63', '62', '258', '76', '236']	
275	['166', '402', '245', '89', '93', '1077', '653', '167', '900', '338']	['538', '72', '57', '90', '124', '171', '128', '200', '927', '572']	
276	['6147', '1832', '509', '863', '1356', '784', '2904', '1577', '1809', '2243']	['211', '2603', '2533', '277', '57', '78', '6147', '322', '3726', '1832']	
277	['133', '74', '56', '28974', '121', '71', '50', '60', '7074', '1720']	['313', '57', '1379', '130', '639', '226', '136', '99', '104', '258']	
278	['4055', '61', '3273', '1143', '82', '557', '896', '190', '952', '2466']	['125', '6405', '2487', '924', '811', '1037', '737', '70', '147', '1212']	
279	['11328', '3933', '1118', '1569', '2629', '2350', '10830', '1567', '1354', '1251']	['1308', '203', '2453', '3898', '2193', '11328', '188', '1569', '1034', '3933']	
280	['913', '71', '1146', '206', '71', '1590', '63', '260', '58', '133']	['1990', '410', '1124', '70', '1097', '95', '71', '2533', '1265', '70']	
281	['8321', '118', '55', '136', '376', '59', '65', '289', '60', '295']	['254', '144', '51', '351', '377', '473', '140', '752', '61', '8321']	
282	['2629', '2193', '394', '11328', '815', '3933', '657', '1118', '242', '3365']	['56', '73', '58', '482', '50', '58', '63', '67', '1227', '6308']	
283	['6383', '3916', '3031', '360', '500', '52', '76', '60', '50', '103']	['1690', '157', '3431', '57', '3726', '6821', '541', '6383', '5296', '115']	
284	['696', '226', '4718', '308', '641', '305', '1166', '339', '1565', '104']	['327', '591', '2382', '96', '627', '594', '13723', '3476', '151', '15333']	
285	['73', '57', '2001', '267', '5743', '93', '81', '220', '132', '1167']	['283', '61', '43012', '139', '149', '1049', '668', '16452', '115', '1249']	
286	['97', '2826', '461', '611', '65', '55', '1677', '356', '61', '189']	['104', '2826', '273', '78', '193', '128', '141', '71', '589', '56']	
287	['2440', '558', '16897', '213', '127', '69', '50', '1377', '1990', '1324']	['51', '62', '818', '1159', '64', '52', '3364', '95', '168', '64']	
288	['3510', '57', '601', '50', '68', '71', '1561', '61', '55', '486']	['486', '3510', '2652', '437', '3826', '409', '173', '327', '781', '199']	
289	['1573', '6336', '400', '490', '1567', '10856', '358', '2008', '400', '56']	['141', '110', '58', '56', '92', '2453', '154', '1034', '88', '52']	
290	['73', '4778', '104', '2826', '54', '69', '1147', '1857', '624', '3400']	['50', '96', '62', '338', '65', '57', '60', '82', '61', '64']	
291	['89', '241', '2826', '64', '64', '350', '96', '1604', '131', '461']	['205', '2141', '1234', '71', '939', '74', '75', '626', '57', '66']	
292	['233', '5729', '1876', '4476', '2426', '1744', '253', '1711', '8005', '2252']	['975', '1190', '80', '1287', '287', '251', '2310', '2705', '491', '4476']	
293	['58', '2349', '114', '72', '388', '107', '52', '98', '90', '3357']	['56', '1542', '1559', '863', '51', '1190', '66', '3500', '266', '40672']	
294	['599', '2030', '578', '520', '451', '350', '79', '91', '2264', '319']	['126', '863', '156', '78', '200', '53', '193', '356', '71', '128']	
295	['9385', '3377', '55', '108', '512', '3940', '631', '1200', '3728', '95']	['773', '112', '896', '605', '262', '114', '1093', '286', '284', '92']	
296	['3286', '24982', '10451', '75916', '516', '7198', '25110', '9410', '994', '3696']	['269', '2323', '292', '151', '129', '113', '2501', '4149', '5092', '456']	
297	['77', '234', '74', '278', '5893', '2243', '2904', '22943', '542', '1729']	['66', '275', '413', '8981', '50', '15333', '52', '3036', '393', '745']	
298	['226', '109', '149', '1226', '2723', '185', '238', '3364', '5708', '513']	['1159', '61', '818', '7540', '13723', '15333', '51', '78', '105', '56']	
299	['1519', '2440', '373', '589', '67', '412', '1840', '61', '551', '57']	['1990', '345', '921', '50', '3588', '1144', '72', '114', '896', '99']	
300	['59', '1244', '554', '338', '216', '895', '114', '66', '357', '71']	['138', '534', '153', '68', '134', '197', '112', '51', '721', '178']	
301	['8089', '82', '60', '51', '138', '167', '1441', '85', '64', '64']	['50', '94', '2247', '70', '71', '60', '207', '73', '65', '74']	
302	['735', '271', '53', '1470', '7024', '125', '55', '237', '3755', '4772']	['126', '68', '444', '52', '86', '50', '58', '56', '55', '71']	
303	['2193', '3933', '239', '1569', '11328', '2911', '323', '5619', '13495', '26411']	['185', '2453', '1251', '1308', '876', '382', '203', '76', '1569', '535']	
304	['310', '2359', '337', '469', '405', '8581', '1624', '147', '359', '234']	['75', '1756', '96', '1561', '36350', '811', '904', '13723', '356', '240']	
305	['589', '373', '586', '276', '436', '885', '733', '2440', '81', '77']	['57', '66', '123', '60', '117', '59', '258', '50', '334', '83']	
306	['1416', '422', '55', '119', '1500', '61', '4437', '6814', '74', '84']	['1249', '6226', '1107', '1542', '1416', '3747', '154', '4116', '717', '3728']	
307	['102', '2193', '10856', '58', '1567', '11328', '61', '81', '50', '154']	['111', '55', '269', '78', '50', '67', '87', '50', '745', '71']	
308	['231', '4748', '143', '123', '86', '56', '76', '37008', '3757', '87']	['89', '531', '65', '18117', '143', '79', '429', '344', '993', '72']	
309	['455', '967', '363', '87', '1246', '1489', '5287', '2171', '3706', '2460']	['96', '591', '383', '2268', '67', '63', '603', '76', '143', '1097']	
310	['1747', '1030', '345', '3176', '815', '68648', '736', '54', '60', '362']	['621', '3018', '4508', '3474', '108', '187', '3176', '4179', '537', '1450']	
311	['304', '900', '63', '268', '36350', '7159', '1283', '1395', '278886', '65']	['900', '36350', '13723', '1395', '7159', '439', '63', '15333', '91', '2387']	
312	['12969', '119', '714', '57', '53', '3771', '12796', '1655', '827', '2316']	['7039', '13723', '107', '96', '125', '587', '351', '60', '460', '54']	
313	['144', '365', '171', '10856', '51', '117', '164', '183', '154', '164']	['7627', '1088', '2427', '100', '73', '79', '85', '50', '87', '120']	
314	['1482', '4141', '1300', '113', '3005', '286', '1697', '1226', '7165', '1161']	['50', '198', '61', '130', '73', '227', '67', '57', '50', '58']	
315	['3665', '6336', '56', '6480', '400', '1567', '1071', '243', '12626', '490']	['603', '58', '1573', '58608', '57', '57', '68', '69', '100', '423']	
316	['1820', '1404', '2008', '3777', '628', '167', '643', '120', '95', '245']	['1221', '942', '435', '74', '586', '494', '927', '921', '628', '126']	
317	['1709', '4566', '910', '838', '797', '730', '1529', '892', '22943', '8706']	['591', '15333', '13723', '2268', '1907', '402', '1450', '3147', '1097', '2382']	
318	['1386', '1026', '6336', '17209', '1573', '117', '1567', '6656', '208', '3933']	['144', '460', '52', '50', '62', '127', '63', '3978', '439', '59']	
319	['2041', '687', '1263', '375', '1306', '88', '78', '222', '1605', '6031']	['68', '52', '83', '58', '237', '106', '90', '109', '345', '73']	
